Gene_ID,RAS_61486_ctrl BR input,RAS_61487_ctrl BR IP biol rep1,RAS_61488_ctrl BR IP biol rep2,RAS_61489_icKO BR input,RAS_61490_cKO BR IP biol rep1,RAS_61491_icKO BR IP biol rep2
Ist1,1052.0,1529,1698,1017.0,1440,1281
Zfp821,724.0,650,802,624.0,571,590
Atxn1l,1119.0,1544,1768,1125.0,1150,1119
Ap1g1,2245.0,2449,2746,2118.0,2232,2066
Snord71,2.0,21,45,12.0,39,27
Phlpp2,1308.0,1460,1609,1385.0,1668,1508
Marveld3,14.0,15,4,9.0,17,11
Tat,5.0,1,2,1.0,1,0
Chst4,1.0,1,0,4.0,0,5
8030455M16Rik,0.0,2,3,0.0,5,2
Zfp612,1386.0,854,899,1408.0,973,1006
Calb2,683.0,525,617,802.0,454,432
Cmtr2,142.0,162,178,136.0,158,108
Hydin,63.0,60,81,59.0,108,126
Gm21283,0.0,0,0,0.0,0,0
Vac14,691.0,817,977,672.0,754,679
Mtss1l,7498.0,29764,34723,7183.0,20606,19889
Il34,554.0,403,448,573.0,276,319
Sf3b3,1834.0,2162,2335,1749.0,1963,1966
Snord111,0.0,2,3,0.0,16,6
Cog4,873.0,966,1121,918.0,899,857
Fuk,220.0,249,291,302.0,287,279
St3gal2,2267.0,1295,1497,2197.0,1069,1145
Ddx19a,544.0,905,1058,398.0,749,681
Ddx19b,710.0,554,671,765.0,570,580
Mir3473d,1.0,0,1,0.0,7,1
Aars,4751.0,4304,5115,4193.0,3580,3631
Exosc6,194.0,145,174,210.0,149,105
Clec18a,72.0,47,34,33.0,56,56
Pdpr,727.0,1037,1002,623.0,922,941
9430091E24Rik,48.0,36,45,24.0,61,46
Glg1,6733.0,6716,8088,6296.0,5832,5432
Rfwd3,626.0,731,780,521.0,606,605
Mlkl,13.0,14,17,8.0,16,5
Fa2h,721.0,5204,6123,641.0,2612,2502
Wdr59,799.0,846,998,673.0,776,821
Mir1957b,0.0,0,0,0.0,0,0
Znrf1,2342.0,1597,1888,2310.0,1685,1707
Ldhd,188.0,117,171,207.0,114,131
Zfp1,520.0,387,428,400.0,354,374
Ctrb1,0.0,4,0,0.0,0,0
Mir7076,0.0,0,0,0.0,0,0
Bcar1,1277.0,3019,3573,1158.0,2152,2070
